 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
;;;;;; reg_loop_cnt_min_shift5; [7:0]; 8'h20; R/W;;;;
0x0080;BB_CLK_CONF;pclk;reset_n;;;; [31:15]; 17'd0; RO;;;;
;;;;;; reg_tone_delta_clk_fen ; [14] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone4_clk_fen ; [13] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone3_clk_fen ; [12] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone2_clk_fen ; [11] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone1_clk_fen ; [10] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbclk_160m_fen ; [9] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbclk_80m_fen ; [8] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbclk_40m_fen ; [7] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbclk_80x_fen ; [6] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbclk_40x_fen ; [5] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbclk_160m_dmd_fen ; [4] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbclk_80m_dmd_fen ; [3] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbclk_44m_fen ; [2] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bbct_clk80x_fen; [1]; 1'h0; R/W;;;;
;;;;;; reg_bbct_clk40x_fen; [0]; 1'h0; R/W;;;;
0x0084;BB_STATE_CNT_CONF0;pclk;reset_n;;;; [31:30]; 2'd0; RO;;;;
;;;;;; reg_bb_cnt_rx_err_restart_tar; [29:20]; 10'h8; R/W;;;;
;;;;;; reg_bb_cnt_agc_reset_tar; [19:10]; 10'h8; R/W;;;;
;;;;;; reg_bb_cnt_tx_tar; [9:0]; 10'h8; R/W;;;;
0x0088;BB_STATE_CNT_CONF1;pclk;reset_n;;;; [31:30]; 2'd0; RO;;;;
;;;;;; reg_bb_cnt_err_tar; [29:20]; 10'd8; R/W;;;;
;;;;;; reg_bb_cnt_rx_en_tar; [19:10]; 10'd80; R/W;;;;
;;;;;; reg_bb_cnt_rifs_tar; [9:0]; 10'h8; R/W;;;;
0x008c;TONE_CTRL_7;pclk;reset_n;;;reg_tone_est_fft_en; [31]; 1'h0; R/W;;;;
;;;;;; reg_tone_est_auto_covg_en; [30]; 1'h0; R/W;;;;
;;;;;; reg_phi_delta_est_shift; [29:28]; 2'h0; R/W;;;;
;;;;;; reg_phi_delta_est_abs_max; [27:20]; 8'h7f; R/W;;;;
;;;;;; reg_tone_est_auto_cnt_tar; [19:16]; 4'ha; R/W;;;;
