Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description
;;;;;;GPIO_PIN36_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN36_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x011c;GPIO_PIN37;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN37_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN37_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN37_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN37_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN37_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0120;GPIO_PIN38;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN38_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN38_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN38_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN38_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN38_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0124;GPIO_PIN39;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN39_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN39_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN39_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN39_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN39_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0128;cali_conf;CLK;RESET;;;cali_start;[31];x;R/W;;;;;
;;;;;;;[30:10];;;;;;;
;;;;;;cali_rtc_max;[9:0];x;R/W;;;;;
0x012c;cali_data;CLK;RESET;;;cali_rdy_sync2;[31];;RO;Not/out;;;;
;;;;;;cali_rdy_real;[30];;RO;Not/out;;;;
;;;;;;;[29:20];;;;;;;
;;;;;;cali_value_sync2;[19:0];;RO;Not/out;;;;
0x0130;GPIO_FUNC0_IN_SEL_CFG;CLK;RESET;;;;[31:8];;;;;;;
