#sample iq, sample i, sample q, rx_gain, rx_err, agc_st, adc_data, lna_sat, vga_sat,1
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
474594,463,482,0,0,0,0x73de2,0,0,0
203234,198,482,0,0,0,0x319e2,0,0,0
53730,52,482,0,0,0,0xd1e2,0,0,0
121314,118,482,0,0,0,0x1d9e2,0,0,0
322018,314,482,0,0,0,0x4e9e2,0,0,0
517602,505,482,0,0,0,0x7e5e2,0,0,0
523746,511,482,0,0,0,0x7fde2,0,0,0
501218,489,482,0,0,0,0x7a5e2,0,0,0
365026,356,482,0,0,0,0x591e2,0,0,0
256482,250,482,0,0,0,0x3e9e2,0,0,0
234978,229,482,0,0,0,0x395e2,0,0,0
277986,271,482,0,0,0,0x43de2,0,0,0
336354,328,482,0,0,0,0x521e2,0,0,0
355810,347,482,0,0,0,0x56de2,0,0,0
326114,318,482,0,0,0,0x4f9e2,0,0,0
270818,264,482,0,0,0,0x421e2,0,0,0
222690,217,482,0,0,0,0x365e2,0,0,0
208354,203,482,0,0,0,0x32de2,0,0,0
224738,219,482,0,0,0,0x36de2,0,0,0
247266,241,482,0,0,0,0x3c5e2,0,0,0
252386,246,482,0,0,0,0x3d9e2,0,0,0
232930,227,482,0,0,0,0x38de2,0,0,0
194018,189,482,0,0,0,0x2f5e2,0,0,0
155106,151,482,0,0,0,0x25de2,0,0,0
126434,123,482,0,0,0,0x1ede2,0,0,0
111074,108,482,0,0,0,0x1b1e2,0,0,0
103906,101,482,0,0,0,0x195e2,0,0,0
92642,90,482,0,0,0,0x169e2,0,0,0
78306,76,482,0,0,0,0x131e2,0,0,0
58850,57,482,0,0,0,0xe5e2,0,0,0
39394,38,482,0,0,0,0x99e2,0,0,0
24034,23,482,0,0,0,0x5de2,0,0,0
12770,12,482,0,0,0,0x31e2,0,0,0
2530,2,482,0,0,0,0x9e2,0,0,0
1038818,-10,482,0,0,0,0xfd9e2,0,0,0
1024482,-24,482,0,0,0,0xfa1e2,0,0,0
1010146,-38,482,0,0,0,0xf69e2,0,0,0
990690,-57,482,0,0,0,0xf1de2,0,0,0
976354,-71,482,0,0,0,0xee5e2,0,0,0
958946,-88,482,0,0,0,0xea1e2,0,0,0
940514,-106,482,0,0,0,0xe59e2,0,0,0
923106,-123,482,0,0,0,0xe15e2,0,0,0
906722,-139,482,0,0,0,0xdd5e2,0,0,0
893410,-152,482,0,0,0,0xda1e2,0,0,0
879074,-166,482,0,0,0,0xd69e2,0,0,0
860642,-184,482,0,0,0,0xd21e2,0,0,0
843234,-201,482,0,0,0,0xcdde2,0,0,0
816610,-227,482,0,0,0,0xc75e2,0,0,0
787938,-255,482,0,0,0,0xc05e2,0,0,0
765410,-277,482,0,0,0,0xbade2,0,0,0
